"userId","questionNumber","graphType","timestamp","correctAnswer","answer","serverTime",
970368162,5,"bubble",1645843843036,56,50,1645843844132,
970368162,6,"bar",1645843847988,61,65,1645843849402,
970368162,7,"area",1645843854915,0,99,1645843856378,
946303072,16,"area",1645843869127,93,55,1645843869615,
970368162,8,"bubble",1645843868524,100,0,1645843869948,
946303072,17,"bubble",1645843874683,11,12,1645843875148,
970368162,9,"bar",1645843877715,44,45,1645843880145,
946303072,18,"bar",1645843880879,44,45,1645843881386,
970368162,10,"area",1645843883788,72,68,1645843884888,
970368162,11,"bubble",1645843889300,78,82,1645843890709,
498712787,0,"bar",1645843890012,59,69,1645843890967,
946303072,19,"area",1645843893480,75,60,1645843893985,
970368162,12,"bar",1645843894980,61,72,1645843896547,
946303072,20,"bubble",1645843900066,73,60,1645843900539,
970368162,13,"area",1645843905524,18,24,1645843906958,
970368162,14,"bubble",1645843909892,17,25,1645843910990,
946303072,21,"bar",1645843912722,29,33,1645843913235,
970368162,15,"bar",1645843915579,61,73,1645843917099,
946303072,22,"area",1645843920398,18,18,1645843920915,
970368162,16,"area",1645843922036,37,75,1645843923131,
946303072,23,"bubble",1645843928721,27,40,1645843929208,
970368162,17,"bubble",1645843931740,67,45,1645843933163,
946303072,24,"bar",1645843938518,89,90,1645843939038,
946303072,25,"area",1645843942854,41,70,1645843942948,
946303072,26,"bubble",1645843947387,10,8,1645843947760,
946303072,27,"bar",1645843955290,60,66,1645843955731,
946303072,28,"area",1645843960000,72,60,1645843960341,
946303072,29,"bubble",1645843966306,62,60,1645843966788,
946303072,30,"bar",1645843972934,50,53,1645843973449,
946303072,31,"area",1645843977986,6,92,1645843978364,
946303072,32,"bubble",1645843987689,29,20,1645843988195,
946303072,33,"bar",1645843992657,44,38,1645843993009,
946303072,34,"area",1645843999570,33,25,1645844000068,
970368162,18,"bar",1645843998692,51,54,1645844000103,
970368162,19,"area",1645844005948,13,72,1645844007617,
561548903,0,"bar",1645844009524,11,5,1645844009979,
946303072,35,"bubble",1645844028074,19,20,1645844028546,
970368162,20,"bubble",1645844030412,50,23,1645844031839,
946303072,36,"bar",1645844033156,50,50,1645844033560,
970368162,21,"bar",1645844034636,29,36,1645844036040,
970368162,22,"area",1645844037052,44,67,1645844038145,
970368162,23,"bubble",1645844039644,28,24,1645844040737,
946303072,37,"area",1645844040510,79,40,1645844041037,
970368162,24,"bar",1645844042148,55,55,1645844043570,
946303072,38,"bubble",1645844046209,54,60,1645844046662,
970368162,25,"area",1645844046244,26,50,1645844047341,
946303072,39,"bar",1645844049690,100,99,1645844049789,
970368162,26,"bubble",1645844049180,72,50,1645844050277,
970368162,27,"bar",1645844054076,80,75,1645844055485,
970368162,28,"area",1645844057972,75,35,1645844059068,
946303072,40,"area",1645844060292,25,30,1645844060800,
970368162,29,"bubble",1645844061124,100,0,1645844062221,
946303072,41,"bubble",1645844064259,17,20,1645844064361,
946303072,42,"bar",1645844068422,56,58,1645844068519,
946303072,43,"area",1645844072673,79,42,1645844073089,
946303072,44,"bubble",1645844080263,86,91,1645844080775,
946303072,45,"bar",1645844095661,41,35,1645844096140,
946303072,46,"area",1645844102033,81,47,1645844102483,
946303072,47,"bubble",1645844106368,31,50,1645844106461,
970368162,30,"bar",1645844111740,75,75,1645844113162,
970368162,31,"area",1645844123564,2,0,1645844124972,
970368162,32,"bubble",1645844127036,47,25,1645844128455,
970368162,33,"bar",1645844132467,16,15,1645844133930,
970368162,34,"area",1645844137372,12,83,1645844138785,
970368162,35,"bubble",1645844142108,48,37,1645844143207,
970368162,36,"bar",1645844144436,62,50,1645844145533,
970368162,37,"area",1645844146149,9,50,1645844147245,
970368162,38,"bubble",1645844146500,92,50,1645844147596,
970368162,39,"bar",1645844146827,75,5,1645844147921,
970368162,40,"area",1645844148124,73,50,1645844149221,
970368162,41,"bubble",1645844148620,23,50,1645844149716,
970368162,42,"bar",1645844149100,18,50,1645844150196,
970368162,43,"area",1645844149588,21,50,1645844150685,
970368162,44,"bubble",1645844150068,79,50,1645844151164,
970368162,45,"bar",1645844150524,19,50,1645844151622,
970368162,46,"area",1645844151004,10,50,1645844152100,
970368162,47,"bubble",1645844151492,77,50,1645844152588,
970368162,48,"bar",1645844151924,32,50,1645844153020,
970368162,49,"area",1645844152388,72,50,1645844153485,
970368162,50,"bubble",1645844152851,83,50,1645844153944,
946303072,48,"bar",1645844153576,85,83,1645844154108,
970368162,51,"bar",1645844153316,73,50,1645844154414,
970368162,52,"area",1645844153756,29,50,1645844154854,
970368162,53,"bubble",1645844154188,95,50,1645844155284,
970368162,54,"bar",1645844154636,64,50,1645844155733,
970368162,55,"area",1645844155092,38,50,1645844156188,
970368162,56,"bubble",1645844155540,13,50,1645844156638,
970368162,57,"bar",1645844155980,83,50,1645844157082,
946303072,49,"area",1645844157381,63,38,1645844157479,
970368162,58,"area",1645844156468,97,50,1645844157564,
970368162,59,"bubble",1645844156948,62,50,1645844158044,
970368162,60,"bar",1645844157372,59,50,1645844158468,
970368162,61,"area",1645844158684,56,50,1645844160095,
970368162,62,"bubble",1645844159196,13,50,1645844160293,
946303072,50,"bubble",1645844163343,25,20,1645844163815,
946303072,51,"bar",1645844168096,34,25,1645844168431,
946303072,52,"area",1645844199095,91,50,1645844199556,
